Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,BCC girvan newman communities,Modularity girvan newman communities,Coverage girvan newman communities,Execution time,Type split
Cora,True,no-split,2708.0,10556.0,7.796159527326441,7.796159527326441,0.0,0.24067329850193728,0.0014399999126942077,78.0,2485.0,10138.0,6.310998681298742,19.0,10.0,1.0,1.0,47.0,0.7973137792564016,0.8437561649240481,2.0,0.05773184658148797,0.998816334582758,230.44822716712952,ordered
CiteSeer,True,no-split,3327.0,9104.0,5.472798316801923,5.472798316801923,0.0,0.14147102442629086,0.0008227297529768376,438.0,2120.0,7358.0,9.329714532486845,28.0,15.0,1.0,1.0,65.0,0.8462662211366775,0.8969828757814624,2.0,0.48336979548122533,0.9918456102201685,454.5441527366638,ordered
ogbn-arxiv,True,no-split,50000.0,100512.0,13.71816,4.02048,484884.0,0.06574825298103341,4.020560411208224e-05,49191.0,13.0,61.0,2.3461538461538463,7.0,2.0,1.0,1.0,5.0,0.041295834816660715,0.2459016393442623,2.0,-0.0007119971520114631,0.8360655737704918,16.568495988845825,1 random iterations
Cora,True,no-split,2708.0,10556.0,7.796159527326441,7.796159527326441,0.0,0.24067329850193728,0.0014399999126942077,78.0,2485.0,10138.0,6.310998681298742,19.0,10.0,1.0,1.0,72.0,0.7786236657348168,0.4028407970013809,2.0,0.05773184658148797,0.499408167291379,230.79245686531067,ordered
ogbn-arxiv*,True,no-split,50000.0,98901.0,13.58822,3.95604,481609.0,0.06999520190228047,3.956119122382448e-05,49173.0,11.0,29.0,2.390909090909091,6.0,3.0,1.0,1.0,5.0,0.13125,0.2413793103448276,2.0,0.24875000000000003,0.5862068965517241,15.860877513885498,1 random iterations
Cora,True,no-split,1000.0,1354.0,7.668,2.708,4960.0,0.07039672041662888,0.0013553553553553553,408.0,322.0,762.0,10.478222170623633,29.0,15.0,1.0,1.0,23.0,0.8437562430680419,0.89501312335958,2.0,0.4207018414036828,0.9921259842519685,2.166426658630371,1 random iterations
Cora*,True,no-split,1000.0,1382.0,7.652,2.764,4888.0,0.07261621966742933,0.0013833833833833834,396.0,378.0,872.0,11.99261785468682,37.0,19.0,1.0,1.0,39.0,0.8259668798922649,0.4288990825688073,2.0,0.3806050627051596,0.4988532110091743,10.838502168655396,1 random iterations
Cora,True,no-split,1000.0,1472.0,7.9,2.944,4956.0,0.083791796111162,0.0014734734734734734,392.0,371.0,954.0,7.013506228600568,26.0,13.0,1.0,1.0,26.0,0.7704776094475869,0.8406708595387841,2.0,0.18722668319203262,0.9979035639412998,2.5202367305755615,1 random iterations
