Dataset name,Feature studied,Directed,First split,Num nodes,Num edges,Homophily,Num CC,BCC num nodes,BCC num edges,BCC homophily,Execution time,Type split
ogbn-products,y,False,no-split,50000,15724,0.8124022405658616,36846,3650,4763,0.730694184788214,0.5708887577056885,10 ordered iterations
ogbn-products,y,False,no-split,49029,15029,0.8097540495775272,36391,3128,4341,0.7205704844687396,0.6378533840179443,10 ordered iterations
ogbn-products,y,False,no-split,100000,1409023,0.8052497835934433,1224,98541,1408069,0.8051132315772856,8.798066139221191,10 ordered iterations
ogbn-products,y,False,no-split,100000,142054,0.8195942995704177,35144,60012,136157,0.8171024063054162,1.8310019969940186,10 ordered iterations
ogbn-products,y,False,no-split,100000,63586,0.8090490977937098,57088,26718,43591,0.778861494830417,1.5134587287902832,10 ordered iterations
ogbn-products,y,False,no-split,100000,64386,0.808443352819979,56570,26614,43988,0.7776309968607893,1.237696647644043,10 ordered iterations
ogbn-products,y,False,no-split,100000,64223,0.8121383211968525,56527,27964,45484,0.7926091630769563,1.489072561264038,10 ordered iterations
ogbn-products,y,False,no-split,100000,63907,0.8056250363599715,56472,28237,45542,0.7803161879989784,1.3831236362457275,10 ordered iterations
ogbn-products,y,False,no-split,100000,63705,0.8132766537349034,56721,26480,43082,0.7804871732165916,1.4724957942962646,10 ordered iterations
ogbn-products,y,False,no-split,100000,64237,0.7937814764998962,56494,27753,45266,0.7691748095433529,1.35933518409729,10 ordered iterations
ogbn-products,y,False,no-split,100000,62825,0.8137891211610148,56756,27433,43759,0.7883386039353328,1.4891998767852783,10 ordered iterations
ogbn-products,y,False,no-split,100000,66625,0.8006684955246759,55922,29127,48822,0.7763969866222323,1.4060349464416504,10 ordered iterations
ogbn-products,y,False,no-split,100000,65047,0.8093752729929495,56283,27781,45551,0.7781982522209349,1.364922285079956,10 ordered iterations
ogbn-products,y,False,no-split,100000,63387,0.8097027757622243,56732,27899,44703,0.7857379938448685,1.4797465801239014,10 ordered iterations
ogbn-products,y,False,no-split,49029,15029,0.8097540495775272,36391,3128,4341,0.7205704844687396,0.6002688407897949,10 ordered iterations
ogbn-products,y,False,no-split,500000,10005359,0.7959579973614014,36767,456167,9983229,0.7955600678706264,75.90231466293335,4 ordered iterations
ogbn-products,y,False,no-split,500000,1596670,0.8069573951298524,102449,371762,1538003,0.8014916111428332,17.352500438690186,4 ordered iterations
ogbn-products,y,False,no-split,500000,1596102,0.8060071103185679,102545,371677,1538670,0.8007728311729844,16.054707527160645,4 ordered iterations
ogbn-products,y,False,no-split,500000,1594945,0.8059086245969388,102345,381410,1572590,0.8043019159244282,17.413752794265747,4 ordered iterations
ogbn-products,y,False,no-split,449029,1285524,0.8070906392202417,99860,324715,1235110,0.8016061178704588,13.129268407821655,4 ordered iterations
ogbn-products,y,False,no-split,2449029,61859140,0.791069854196984,52658,2385902,61806431,0.7908852504934727,510.5829701423645,1 ordered iterations
ogbn-products,y,False,no-split,1000,8,0.8350515463917526,992,4,3,nan,0.06234025955200195,20 random iterations
ogbn-products,y,False,no-split,1000,11,0.5532994923857868,989,3,2,-0.6,0.006008148193359375,20 random iterations
ogbn-products,y,False,no-split,1000,12,0.7982456140350876,989,2,1,nan,0.10933065414428711,20 random iterations
ogbn-products,y,False,no-split,1000,14,0.7307692307692306,986,3,2,nan,0.0060160160064697266,20 random iterations
ogbn-products,y,False,no-split,1000,13,0.7243816254416963,987,3,2,nan,0.005960226058959961,20 random iterations
ogbn-products,y,False,no-split,1000,13,0.6486486486486487,987,2,1,-1.0,0.0058672428131103516,20 random iterations
ogbn-products,y,False,no-split,1000,10,0.7647058823529411,990,3,2,nan,0.006103992462158203,20 random iterations
ogbn-products,y,False,no-split,1000,10,1.0,990,2,1,nan,0.00604557991027832,20 random iterations
ogbn-products,y,False,no-split,1000,11,0.7755102040816328,989,2,1,nan,0.005604267120361328,20 random iterations
ogbn-products,y,False,no-split,1000,9,0.6029411764705883,991,3,2,nan,0.005769968032836914,20 random iterations
ogbn-products,y,False,no-split,1000,5,0.7297297297297298,995,2,1,nan,0.00571894645690918,20 random iterations
ogbn-products,y,False,no-split,1000,16,0.6820512820512822,985,3,2,nan,0.10596466064453125,20 random iterations
ogbn-products,y,False,no-split,1000,13,0.712177121771218,987,3,2,nan,0.00555872917175293,20 random iterations
ogbn-products,y,False,no-split,1000,14,0.9183673469387755,986,2,1,nan,0.005759477615356445,20 random iterations
ogbn-products,y,False,no-split,1000,7,1.0000000000000002,993,2,1,nan,0.005721330642700195,20 random iterations
ogbn-products,y,False,no-split,1000,14,0.9999999999999998,986,2,1,nan,0.005848884582519531,20 random iterations
ogbn-products,y,False,no-split,1000,8,0.8558558558558559,992,2,1,nan,0.006001710891723633,20 random iterations
ogbn-products,y,False,no-split,1000,16,1.0,984,3,2,nan,0.005968809127807617,20 random iterations
ogbn-products,y,False,no-split,1000,10,0.9999999999999997,990,2,1,nan,0.00594329833984375,20 random iterations
ogbn-products,y,False,no-split,1000,10,0.5973154362416109,990,3,2,-0.3333333333333333,0.00581669807434082,20 random iterations
ogbn-products,y,False,no-split,5000,222,0.845175269982176,4780,6,5,-0.4285714285714284,0.13250470161437988,20 random iterations
ogbn-products,y,False,no-split,5000,254,0.7833023358984421,4749,10,9,nan,0.028240203857421875,20 random iterations
ogbn-products,y,False,no-split,5000,253,0.8157709795686817,4755,9,8,nan,0.12935686111450195,20 random iterations
ogbn-products,y,False,no-split,5000,243,0.8148468207286818,4766,9,8,0.07692307692307693,0.13398241996765137,20 random iterations
ogbn-products,y,False,no-split,5000,251,0.7293615273368305,4759,14,13,-0.023622047244094536,0.028071165084838867,20 random iterations
ogbn-products,y,False,no-split,5000,260,0.7662996372508107,4742,8,7,-0.07692307692307795,0.13117313385009766,20 random iterations
ogbn-products,y,False,no-split,5000,273,0.7782901892538613,4733,13,12,-0.10769230769230781,0.027707338333129883,20 random iterations
ogbn-products,y,False,no-split,5000,231,0.8341266332898135,4775,8,7,nan,0.029142379760742188,20 random iterations
ogbn-products,y,False,no-split,5000,266,0.7927510216552724,4740,9,8,-0.23076923076923078,0.1353766918182373,20 random iterations
ogbn-products,y,False,no-split,5000,282,0.7801695842450763,4725,7,6,-0.09090909090909094,0.028496265411376953,20 random iterations
ogbn-products,y,False,no-split,5000,246,0.7815671209046101,4758,7,6,nan,0.1329340934753418,20 random iterations
ogbn-products,y,False,no-split,5000,210,0.788154294288993,4791,5,4,nan,0.13843560218811035,20 random iterations
