Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Transitivity,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Max clique,Execution time,Type split
CiteSeer,True,no-split,166,40,6.048192771084337,0.4819277108433735,924,0.018072289156626505,0.0014603870025556773,0.42857142857142855,147,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.009522676467895508,20 ordered iterations
CiteSeer,True,no-split,166,26,5.253012048192771,0.3132530120481928,820,0.0,0.0009492515516611902,0,153,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.009037971496582031,20 ordered iterations
CiteSeer,True,no-split,166,14,5.433734939759036,0.1686746987951807,874,0.0,0.000511135450894487,0,159,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008543729782104492,20 ordered iterations
CiteSeer,True,no-split,166,52,6.144578313253012,0.6265060240963856,916,0.0,0.0018985031033223803,0,140,7,12,1.7142857142857142,2,1,1,1,7,-0.2916666666666665,0.0,2,0.011234283447265625,20 ordered iterations
CiteSeer,True,no-split,166,10,4.879518072289157,0.12048192771084337,790,0.0,0.0003650967506389193,0,161,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.00811004638671875,20 ordered iterations
CiteSeer,True,no-split,166,16,5.650602409638554,0.1927710843373494,906,0.0,0.0005841548010222709,0,158,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.06983470916748047,20 ordered iterations
CiteSeer,True,no-split,166,20,5.855421686746988,0.24096385542168675,932,0.0,0.0007301935012778386,0,156,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008705377578735352,20 ordered iterations
CiteSeer,True,no-split,166,26,5.120481927710843,0.3132530120481928,798,0.014056224899598391,0.0009492515516611902,0.6,154,4,8,1.3333333333333333,2,1,1,1,3,-0.125,0.25,3,0.009338855743408203,20 ordered iterations
CiteSeer,True,no-split,166,22,5.819277108433735,0.26506024096385544,922,0.0,0.0008032128514056225,0,155,5,8,1.8,3,2,1,1,3,0.09375,0.5,2,0.010470151901245117,20 ordered iterations
CiteSeer,True,no-split,166,16,5.686746987951807,0.1927710843373494,912,0.0,0.0005841548010222709,0,158,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,2,0.009249687194824219,20 ordered iterations
CiteSeer,True,no-split,166,20,4.951807228915663,0.24096385542168675,782,0.018072289156626505,0.0007301935012778386,1.0,157,3,6,1.0,1,1,2,2,3,-0.3333333333333333,0.0,3,0.008662700653076172,20 ordered iterations
CiteSeer,True,no-split,166,16,5.602409638554217,0.1927710843373494,898,0.0,0.0005841548010222709,0,158,4,6,1.6666666666666667,3,2,1,1,2,0.16666666666666663,0.6666666666666666,2,0.008971214294433594,20 ordered iterations
CiteSeer,True,no-split,166,8,4.313253012048193,0.0963855421686747,700,0.0,0.00029207740051113545,0,162,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.007954597473144531,20 ordered iterations
CiteSeer,True,no-split,166,24,5.650602409638554,0.2891566265060241,890,0.0,0.0008762322015334064,0,154,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008856773376464844,20 ordered iterations
CiteSeer,True,no-split,166,116,7.506024096385542,1.3975903614457832,1014,0.0,0.004235122307411464,0,108,6,10,1.8666666666666667,3,2,1,1,4,0.04000000000000002,0.4,2,0.012249231338500977,20 ordered iterations
CiteSeer,True,no-split,166,76,6.710843373493976,0.9156626506024096,962,0.024096385542168676,0.002774735304855787,0.23076923076923078,130,12,24,3.5606060606060606,8,4,1,1,4,0.4756944444444444,0.75,3,0.014423847198486328,20 ordered iterations
CiteSeer,True,no-split,166,82,5.590361445783133,0.9879518072289156,764,0.014056224899598391,0.0029937933552391383,0.16666666666666666,126,7,12,2.0952380952380953,4,2,1,1,3,0.29166666666666663,0.6666666666666666,2,0.011708974838256836,20 ordered iterations
CiteSeer,True,no-split,166,76,5.421686746987952,0.9156626506024096,748,0.014056224899598391,0.002774735304855787,0.1875,129,5,8,1.6,2,1,1,1,5,-0.3125,0.0,2,0.010358333587646484,20 ordered iterations
CiteSeer,True,no-split,166,52,4.0602409638554215,0.6265060240963856,570,0.018072289156626505,0.0018985031033223803,0.42857142857142855,141,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008905649185180664,20 ordered iterations
CiteSeer,True,no-split,166,44,3.746987951807229,0.5301204819277109,534,0.0,0.001606425702811245,0,144,6,10,1.6666666666666667,2,1,1,1,6,-0.30000000000000004,0.0,2,0.009517192840576172,20 ordered iterations
CiteSeer,True,no-split,166,26,5.626506024096385,0.3132530120481928,882,0.0,0.0009492515516611902,0,153,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.00898289680480957,20 random2 iterations
CiteSeer,True,no-split,166,22,5.578313253012048,0.26506024096385544,882,0.0,0.0008032128514056225,0,155,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,2,0.010169267654418945,20 random2 iterations
CiteSeer,True,no-split,166,16,5.36144578313253,0.1927710843373494,858,0.0,0.0005841548010222709,0,158,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.008423328399658203,20 random2 iterations
CiteSeer,True,no-split,166,14,5.216867469879518,0.1686746987951807,838,0.0,0.000511135450894487,0,159,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.00857400894165039,20 random2 iterations
CiteSeer,True,no-split,166,20,6.0843373493975905,0.24096385542168675,970,0.0,0.0007301935012778386,0,156,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.009243011474609375,20 random2 iterations
CiteSeer,True,no-split,166,38,5.9156626506024095,0.4578313253012048,906,0.0,0.0013873676524278934,0,147,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,2,0.06995749473571777,20 random2 iterations
CiteSeer,True,no-split,166,12,4.734939759036145,0.14457831325301204,762,0.0,0.0004381161007667032,0,160,2,2,1.0,1,1,1,1,2,-0.5,0.0,2,0.008157014846801758,20 random2 iterations
CiteSeer,True,no-split,166,22,5.373493975903615,0.26506024096385544,848,0.0,0.0008032128514056225,0,155,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,2,0.009113311767578125,20 random2 iterations
CiteSeer,True,no-split,166,22,4.325301204819277,0.26506024096385544,674,0.0,0.0008032128514056225,0,155,4,6,1.6666666666666667,3,2,1,1,2,0.16666666666666663,0.6666666666666666,2,0.008884191513061523,20 random2 iterations
CiteSeer,True,no-split,166,20,5.975903614457831,0.24096385542168675,952,0.0,0.0007301935012778386,0,156,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.009023189544677734,20 random2 iterations
CiteSeer,True,no-split,166,22,5.63855421686747,0.26506024096385544,892,0.0,0.0008032128514056225,0,155,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,2,0.009243965148925781,20 random2 iterations
CiteSeer,True,no-split,166,22,5.530120481927711,0.26506024096385544,874,0.0,0.0008032128514056225,0,155,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008874177932739258,20 random2 iterations
CiteSeer,True,no-split,166,22,6.771084337349397,0.26506024096385544,1080,0.0,0.0008032128514056225,0,155,5,8,1.6,2,1,1,1,5,-0.3125,0.0,2,0.010892629623413086,20 random2 iterations
CiteSeer,True,no-split,166,30,5.759036144578313,0.3614457831325301,896,0.009036144578313253,0.001095290251916758,0.3,152,6,12,1.7333333333333334,3,2,1,1,3,0.11111111111111109,0.5,3,0.010660648345947266,20 random2 iterations
CiteSeer,True,no-split,166,24,4.710843373493976,0.2891566265060241,734,0.0,0.0008762322015334064,0,154,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008700370788574219,20 random2 iterations
CiteSeer,True,no-split,166,20,5.650602409638554,0.24096385542168675,898,0.014056224899598391,0.0007301935012778386,0.6,157,4,8,1.3333333333333333,2,1,1,1,3,-0.125,0.25,3,0.009310483932495117,20 random2 iterations
CiteSeer,True,no-split,166,20,5.409638554216867,0.24096385542168675,858,0.0,0.0007301935012778386,0,156,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008843660354614258,20 random2 iterations
CiteSeer,True,no-split,166,18,5.337349397590361,0.21686746987951808,850,0.0,0.0006571741511500548,0,157,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.00889444351196289,20 random2 iterations
CiteSeer,True,no-split,166,16,5.096385542168675,0.1927710843373494,814,0.0,0.0005841548010222709,0,158,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008733034133911133,20 random2 iterations
CiteSeer,True,no-split,166,20,5.433734939759036,0.24096385542168675,862,0.0,0.0007301935012778386,0,156,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2,0.008890390396118164,20 random2 iterations
CiteSeer,True,no-split,3327,9104,5.472798316801923,5.472798316801923,0,0.14147102442629086,0.0008227297529768376,0.13006166877182554,438,2120,7358,9.329714532486845,28,15,1,1,65,0.8462662211366775,0.8969828757814624,6,67.82071161270142,1 ordered iterations
