Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbn-arxiv,True,no-split,5000,1069,13.97,0.4276,67712,0.005870192924611015,4.276855371074215e-05,4994,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,0.3112907409667969,33 ordered iterations
ogbn-arxiv,True,no-split,5000,934,13.2924,0.3736,64594,0.006008610914751264,3.736747349469894e-05,4990,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.6336958408355713,33 ordered iterations
ogbn-arxiv,True,no-split,5000,820,12.4438,0.328,60579,0.0028135058568882093,3.2806561312262455e-05,4996,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.24340271949768066,33 ordered iterations
ogbn-arxiv,True,no-split,5000,828,12.8908,0.3312,62798,0.0062914768210771185,3.312662532506501e-05,4995,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.5659658908843994,33 ordered iterations
ogbn-arxiv,True,no-split,5000,956,13.4062,0.3824,65119,0.005918220987154166,3.8247649529905984e-05,4996,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.27403712272644043,33 ordered iterations
ogbn-arxiv,True,no-split,5000,960,13.4058,0.384,65109,0.004244850596660723,3.840768153630726e-05,4993,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.5912785530090332,33 ordered iterations
ogbn-arxiv,True,no-split,5000,925,13.1886,0.37,64093,0.005158642922379765,3.700740148029606e-05,4990,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.27213358879089355,33 ordered iterations
ogbn-arxiv,True,no-split,5000,967,13.4844,0.3868,65488,0.006512803657694963,3.86877375475095e-05,4991,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.5522513389587402,33 ordered iterations
ogbn-arxiv*,True,no-split,4343,847,14.285516923785401,0.3900529587842505,60348,0.006170865080159861,4.4916278072806373e-05,4334,3,4,1.3333333333333333,2,1,2,1,3,-0.3333333333333333,0.0,0.6186060905456543,33 ordered iterations
ogbn-arxiv*,True,no-split,10000,4370,14.2471,0.874,133731,0.019133029729367174,4.3704370437043704e-05,9974,3,4,1.3333333333333333,2,1,2,1,3,-0.3333333333333333,0.0,3.0393729209899902,16 ordered iterations
