Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Transitivity,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Max clique,Execution time,Type split
Cora,True,no-split,2708,10556,7.796159527326441,7.796159527326441,0,0.24067329850193728,0.0014399999126942077,0.09349725626661058,78,2485,10138,6.310998681298742,19,10,1,1,47,0.7973137792564016,0.8437561649240481,5,90.38186144828796,1 ordered iterations
Cora,True,no-split,1354,2646,7.7533234859675035,3.9084194977843425,5206,0.13886644658191122,0.001444353103394066,0.14007014467338885,339,776,2076,9.534792151646158,25,13,1,1,39,0.8639957157866212,0.8978805394990366,4,8.996616125106812,2 ordered iterations
Cora,True,no-split,1354,2704,7.838995568685377,3.9940915805022157,5206,0.12706818601118713,0.0014760131487443517,0.07137490608564989,314,894,2382,8.872979249494577,27,14,1,1,44,0.8625575527624266,0.9026028547439127,4,11.994105100631714,2 ordered iterations
Cora,True,no-split,677,764,8.035450516986707,2.257016248153619,3912,0.07415848006689958,0.0016693907160899549,0.12450592885375494,348,137,346,7.285959639330184,20,10,1,1,14,0.7477028968558923,0.838150289017341,4,0.42391157150268555,4 ordered iterations
Cora,True,no-split,677,690,7.471196454948301,2.0384047267355982,3678,0.07323509413612814,0.0015076958037985194,0.1717557251908397,368,55,118,5.276094276094276,13,7,1,1,10,0.6870152255099109,0.7966101694915254,3,0.10533356666564941,4 ordered iterations
Cora,True,no-split,677,1152,9.202363367799114,3.4032496307237814,3926,0.11881097699976295,0.0025171964724288324,0.042078762812443805,214,269,688,5.196471175719913,15,8,1,1,26,0.7017729177934021,0.7848837209302325,4,1.2029707431793213,4 ordered iterations
Cora,True,no-split,677,586,6.4756277695716395,1.7311669128508125,3212,0.052470047595601525,0.001280448900037583,0.1744186046511628,407,32,68,4.235887096774194,9,5,1,1,8,0.6410034602076125,0.7941176470588235,3,0.06623697280883789,4 ordered iterations
Cora,True,no-split,1354,2404,7.511078286558345,3.55096011816839,5362,0.12726611985344286,0.0013122542934842535,0.17058823529411765,421,634,1690,11.150218527765734,34,17,1,1,33,0.8674731276916074,0.9112426035502958,4,6.179334402084351,2 random2 iterations
Cora,True,no-split,1354,2790,8.081240768094535,4.121122599704579,5362,0.10852213065399008,0.0015229573539189132,0.06506024096385542,321,843,2356,7.356311442844946,19,11,1,1,39,0.8305759812752755,0.8786078098471987,4,10.7421293258667,2 random2 iterations
Cora,True,no-split,677,506,7.2466765140324965,1.4948301329394387,3894,0.04647253288316805,0.0011056435894522475,0.1563517915309446,442,52,110,5.676470588235294,14,7,1,1,10,0.6880991735537191,0.8,3,0.0952601432800293,4 random2 iterations
Cora,True,no-split,677,770,8.55834564254062,2.274741506646972,4254,0.07756936225563804,0.001682501114383855,0.08204518430439953,342,165,404,7.5362158167036215,17,9,1,1,22,0.7096608175669054,0.7920792079207921,4,0.5882656574249268,4 random2 iterations
Cora,True,no-split,677,688,7.935007385524372,2.032496307237814,3996,0.06474115495533515,0.001503325671033886,0.0962962962962963,368,101,240,4.801782178217822,12,6,1,1,16,0.7162500000000002,0.8166666666666667,3,0.22888875007629395,4 random2 iterations
Cora,True,no-split,677,590,7.444608567208272,1.742983751846381,3860,0.03577225334980136,0.00128918916556685,0.11486486486486487,402,26,58,2.8461538461538463,6,3,1,1,8,0.4334126040428062,0.6206896551724138,3,0.063232421875,4 random2 iterations
Cora,True,no-split,902,1276,7.926829268292683,2.8292682926829267,4598,0.10054174996448864,0.0015700711946076175,0.1493989696622782,372,290,736,9.792864813268107,27,14,1,1,24,0.8410363008034026,0.9021739130434783,4,1.4499289989471436,3 ordered iterations
Cora,True,no-split,902,1528,8.297117516629712,3.388026607538803,4428,0.1291804473574678,0.0018801479509094354,0.052079430498313976,319,427,1182,6.26217413772251,20,10,1,1,26,0.7507966365190205,0.817258883248731,4,2.9084763526916504,3 ordered iterations
Cora,True,no-split,902,1078,7.164079822616408,2.3902439024390243,4306,0.066004635571476,0.0013264394575133321,0.10027855153203342,425,162,384,5.683459857372901,14,7,1,1,16,0.7988552517361112,0.890625,4,0.48056459426879883,3 ordered iterations
Cora,True,no-split,902,1228,7.933481152993348,2.7228381374722836,4700,0.08701031234029799,0.0015110089553120331,0.09802712700369914,362,372,848,11.669362084456424,29,15,1,1,27,0.8756396849412599,0.9221698113207547,3,2.199018716812134,3 random2 iterations
Cora,True,no-split,902,1122,7.534368070953437,2.4878048780487805,4552,0.07230947362780005,0.0013805798435342844,0.10656370656370656,405,238,562,9.963620891394532,23,12,1,1,21,0.8386355289320044,0.896797153024911,4,0.9962389469146729,3 random2 iterations
Cora,True,no-split,902,1196,7.929046563192904,2.6518847006651884,4760,0.08496076273238139,0.001471634129114977,0.07569875776397515,388,293,674,10.481883210996306,29,15,1,1,29,0.805875723128671,0.8724035608308606,3,1.4395289421081543,3 random2 iterations
Cora,True,no-split,270,128,8.118518518518519,0.9481481481481482,1936,0.04716049382716049,0.0017623571526917251,0.32142857142857145,212,13,28,2.6923076923076925,5,3,1,1,4,0.42091836734693877,0.7142857142857143,3,0.02202463150024414,10 ordered iterations
Cora,True,no-split,270,134,8.274074074074074,0.9925925925925926,1966,0.02131313131313131,0.0018449676442241498,0.13043478260869565,209,16,36,2.325,5,3,1,1,5,0.3256172839506173,0.6111111111111112,3,0.025315046310424805,10 ordered iterations
